,,Fire and Explosions ,Non-fire Rescue Incidents ,Hazardous Material Incidents & Hazardous Conditions ,"Storm, Floods, other Natural Disaster Incidents and Assisting Other Agencies ",Other Incidents ,Good Intent Calls ,System Initiated False Alarms ,Malicious False Calls ,Other Calls ,Total Primary Incidents
1,Albury ,229,48,122,38,15,97,218,27,13,807
2,Armidale Regional  ,211,29,50,13,15,51,217,16,1,603
3,Ballina ,71,423,54,11,10,62,111,3,36,781
4,Balranald  ,9,5,0,4,0,3,2,0,0,23
5,Bathurst Regional ,103,35,98,19,19,77,203,12,6,572
6,Bayside ,282,229,417,139,89,354,1300,21,21,2852
7,Bega Valley ,80,39,43,40,5,52,53,2,12,326
8,Bellingen ,31,11,20,13,4,23,41,1,2,146
9,Berrigan  ,32,225,10,2,5,9,14,1,1,299
10,Blacktown  ,1302,474,774,241,219,614,1261,108,84,5077
11,Bland  ,21,9,10,1,1,2,13,1,1,59
12,Blayney  ,19,5,11,5,4,4,28,1,1,78
13,Blue Mountains  ,226,175,280,152,97,212,376,13,53,1584
14,Bogan  ,15,7,3,13,0,2,7,3,1,51
15,Bourke ,91,2,7,4,0,3,5,4,0,116
16,Brewarrina  ,32,6,4,0,1,0,4,0,0,47
17,Broken Hill ,81,21,62,49,8,60,44,4,5,334
18,Burwood  ,63,95,87,40,15,82,306,6,6,700
19,Byron  ,100,25,80,9,16,74,127,2,4,437
20,Cabonne  ,21,20,10,13,3,16,9,0,8,100
21,Camden  ,161,155,146,47,35,86,148,8,11,797
22,Campbelltown  ,745,365,332,135,105,282,743,50,16,2773
23,Canada Bay ,124,130,186,65,45,144,533,2,13,1242
24,Canterbury-Bankstown ,696,724,1052,309,201,672,1275,53,36,5018
25,Carrathool  ,6,2,4,0,0,1,0,0,1,14
26,Central Coast ,965,456,746,451,225,692,1178,50,64,4827
27,Central Darling ,0,2,0,0,0,0,0,0,0,2
28,Cessnock  ,439,343,99,61,21,151,143,18,12,1287
29,Clarence Valley  ,173,59,91,32,16,73,142,17,8,611
30,Cobar  ,17,5,5,7,1,5,4,0,1,45
31,Coffs Harbour  ,245,86,138,83,21,156,219,13,5,966
32,Coolamon ,9,11,1,2,0,1,2,0,5,31
33,Coonamble ,86,11,11,6,7,10,7,1,2,141
34,Cootamundra-Gundagai Regional,40,24,35,20,9,33,21,0,1,183
35,Cowra  ,43,8,16,11,2,32,29,0,3,144
36,Cumberland ,512,372,760,200,139,422,1251,32,38,3726
37,Dubbo Regional ,353,49,95,35,17,108,254,38,4,953
38,Dungog ,9,31,4,7,1,5,6,1,1,65
39,Edward River ,32,1,22,2,1,19,14,0,0,91
40,Eurobodalla ,126,60,60,19,5,47,87,4,12,420
41,Fairfield  ,412,310,539,166,103,252,650,13,18,2463
42,Federation ,32,31,19,7,1,20,30,0,3,143
43,Forbes  ,31,12,16,21,4,17,21,2,7,131
44,Georges River ,209,249,298,122,63,206,631,17,23,1818
45,Gilgandra  ,11,13,8,3,0,7,0,0,5,47
46,Glen Innes Severn shire,62,13,23,9,2,24,24,0,0,157
47,Goulburn Mulwaree ,64,22,77,23,13,38,138,8,26,409
48,Greater Hume,31,179,15,3,1,5,11,0,0,245
49,Griffith  ,124,15,43,5,5,35,105,3,15,350
50,Gunnedah  ,68,17,26,14,0,27,17,8,3,180
51,Gwydir  ,18,2,6,15,0,1,17,0,0,59
52,Hawkesbury  ,169,51,87,33,21,103,145,16,20,645
53,Hay  ,16,7,10,2,0,2,8,0,0,45
54,Hilltops ,81,34,40,30,4,33,31,2,6,261
55,Hornsby  ,211,358,349,229,96,217,593,21,24,2098
56,Hunters Hill  ,17,28,31,10,11,33,122,2,4,258
57,Inner West ,314,208,425,141,139,491,1198,30,35,2981
58,Inverell  ,84,10,16,19,0,49,10,3,7,198
59,Junee  ,24,12,7,5,2,3,59,0,9,121
60,Kempsey  ,459,40,54,29,10,103,86,20,1,802
61,Kiama ,19,12,44,3,1,26,59,1,2,167
62,Ku-ring-gai ,118,152,286,113,99,171,529,3,17,1488
63,Kyogle ,21,4,13,7,1,24,13,0,0,83
64,Lachlan ,33,19,4,3,1,15,9,0,2,86
65,Lake Macquarie ,744,293,368,233,78,364,418,40,45,2583
66,Lane Cove ,37,51,85,34,21,76,341,2,19,666
67,Leeton ,45,6,15,9,3,14,35,1,1,129
68,Lismore ,161,54,56,31,10,107,193,5,27,644
69,Lithgow ,58,48,99,45,16,44,55,4,9,378
70,Liverpool  ,681,427,515,208,151,348,966,42,24,3362
71,Liverpool Plains ,21,2,6,7,3,18,10,2,4,73
72,Lockhart ,3,7,3,4,0,1,5,0,0,23
73,Maitland ,282,58,172,44,40,156,156,18,12,938
74,Mid-Coast ,287,81,122,98,27,168,176,14,21,994
75,Mid-Western Regional ,70,29,52,26,10,48,27,1,10,273
76,Moree Plains ,451,19,18,22,0,33,41,29,11,624
77,Mosman ,36,33,54,43,24,80,202,1,6,479
78,Murray River ,19,15,11,4,3,14,15,0,0,81
79,Murrumbidgee ,9,5,6,6,0,1,0,0,2,29
80,Muswellbrook ,126,164,40,22,11,37,30,12,6,448
81,Nambucca ,123,47,47,17,9,31,28,4,1,307
82,Narrabri ,47,47,40,18,0,26,21,1,2,202
83,Narrandera ,45,19,7,16,1,5,9,0,0,102
84,Narromine ,35,13,9,9,2,5,5,0,4,82
85,Newcastle ,648,260,465,168,104,477,1207,48,51,3428
86,Northern Beaches ,326,434,511,207,155,501,1521,18,115,3788
87,North Sydney ,101,132,133,82,46,220,1262,4,20,2000
88,Oberon ,11,6,8,2,0,7,3,0,1,38
89,Orange  ,241,77,90,43,18,128,215,24,12,848
90,Parkes  ,68,16,30,28,7,27,26,1,0,203
91,Parramatta  ,487,402,717,254,153,515,2429,77,47,5081
92,Penrith  ,708,335,387,183,134,371,882,52,47,3099
93,Port Macquarie-Hastings ,266,106,130,96,35,126,257,10,8,1034
94,Port Stephens  ,184,85,86,68,47,116,155,10,11,762
95,Queanbeyan-Palerang Regional,115,63,80,70,13,82,87,3,8,521
96,Randwick  ,243,101,220,98,88,344,1277,36,29,2436
97,Richmond Valley  ,165,78,33,28,9,60,49,6,2,430
98,Ryde  ,149,212,300,105,71,185,1172,13,9,2216
99,Shellharbour  ,255,79,123,38,31,102,176,17,5,826
100,Shoalhaven  ,290,84,154,54,35,143,355,6,7,1128
101,Singleton  ,95,99,47,7,21,37,102,1,7,416
102,Snowy Monaro Regional ,68,125,63,7,8,123,141,1,1,537
103,Snowy Valleys ,69,27,22,9,2,6,41,3,20,199
104,Strathfield  ,80,111,132,33,27,110,382,11,6,892
105,Sutherland Shire  ,285,441,400,224,113,319,738,16,51,2587
106,Sydney  ,759,231,511,192,236,1174,10377,90,116,13686
107,Tamworth Regional ,294,93,113,57,20,120,168,27,9,901
108,Temora  ,13,2,11,21,1,8,16,1,2,75
109,Tenterfield  ,38,4,8,7,2,4,13,0,3,79
110,The Hills Shire  ,186,198,295,113,63,148,703,20,23,1749
111,Tweed ,186,92,162,78,37,168,336,12,27,1098
112,Unincorporated,3,5,3,2,0,0,0,0,0,13
113,Upper Hunter ,57,22,23,16,4,17,28,0,10,177
114,Upper Lachlan Shire ,16,20,5,6,2,2,1,0,0,52
115,Uralla  ,29,266,9,0,1,5,5,0,3,318
116,Wagga Wagga  ,584,49,119,44,30,163,234,45,13,1281
117,Walcha  ,12,5,2,1,1,2,6,0,0,29
118,Walgett  ,69,14,3,27,1,7,8,1,1,131
119,Warren  ,6,11,5,1,1,3,5,0,3,35
120,Warrumbungle ,27,14,11,13,1,14,18,2,1,101
121,Waverley  ,98,62,132,31,40,183,666,18,26,1256
122,Weddin  ,8,17,4,4,0,6,3,0,1,43
123,Wentworth  ,24,11,1,0,3,4,1,0,3,47
124,Willoughby  ,86,109,143,77,38,126,1003,7,31,1620
125,Wingecarribee  ,120,300,95,34,31,103,169,5,12,869
126,Wollondilly  ,94,151,62,35,42,46,68,4,10,512
127,Wollongong  ,851,346,449,214,129,518,913,51,40,3511
128,Woollahra  ,76,46,110,37,36,147,647,9,15,1123
129,Yass Valley ,34,39,30,5,1,6,23,0,3,141
